location,date,link,price,comp_name,full_name,currency,description,type
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44410258,2000,Apple Macbook,Apple MacBook Pro M3,AZN,"Apple MacBook Pro M3
Chip Apple M3
Ram - 8 Gb
Ssd - 512 Gb ( yaddaş )
Ekran - 14 inch
Batareya sağlamlığı - 98%
Cycle Count - 52",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/43317494,1600,Apple Macbook,Apple MacBook Air M3,AZN,"Macbook Air M3
Ram - 8 Gb
Ssd - 256 Gb
Ekran 15 inch
Macbook təzədir, istifadə olunmayıb.
Sadəcə qutusundan açılıb, 3 dəfə zaryadkaya qoyulubvə Pil Faizi 100%.
Şəkildə göstərilib.
Kim harda istəsə yoxlatdıra bilər.
Yazılı zəmanət verilir alan şəxsin adına.
Real alıcıya biraz endirim olar.
Ünvan 📍 28 Mall ın aşağı çıxışı ilə üzbəüz Güvən Computers.",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/42405604,1230,HP,Hp Elite x2,AZN,"Hp Elite x2 g8, ikinci əl, problemsiz
3ədəd var
Klaviaturasız istəsəz 970aznə də var, 256 yaddaşla",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44441092,690,HP,HP Pavilion 14m-dy1023dx,AZN,"360 dərəcə , Touchscreen Ekran və güclü parametr. Noutbuk əla vəziyyətdədi. İşləməyində, detallarında heç bir problem yoxdu. Dəqiq Parametrler aşağıda göstərilib. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44369550,1099,Asus,"Noutbuk ""Asus VivoBook K6502VU""",AZN,"Noutbuk əla vəziyyətdədi. İşləməyində, detallarında heç bir problem yoxdu. Parametrləri güclüdü, 6 GB RTX 4050 Videokartı, işıqlı klaviturası var. Dəqiq Parametrler aşağıda göstərilib. Format olunub, müddətsiz antivirus , lazimi proqramlar yazılıb. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44514542,650,Lenovo,Lenovo ThinkBook 15 IIL,AZN,"Noutbuk əla vəziyyətdədi , səliqəli işlənib. Parametrləri güclüdü, işıqlı klaviaturası var. İşləməyində, detallarında heç bir problem yoxdu. Dəqiq Parametrler aşağıda göstərilib. Format olunub, müddətsiz antivirus , lazimi proqramlar yazılıb. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44537107,699,Lenovo,"Noutbuk ""Lenovo ThinkBook 15 G2 ITL""",AZN,"Noutbuk əla vəziyyətdədi , səliqəli işlənib. Parametrləri güclüdü, işıqlı klaviaturası var. İşləməyində, detallarında heç bir problem yoxdu. Dəqiq Parametrler aşağıda göstərilib. Format olunub, müddətsiz antivirus , lazimi proqramlar yazılıb. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44515669,930,Lenovo,"Noutbuk ""Lenovo Legion 5 15ITH6""",AZN,"Noutbuk əla vəziyyətdədi. İşləməyində, detallarında heç bir problem yoxdu. Parametrləri güclüdü, RTX 3050ti Videokartı, dəyişən işıqlı klaviturası var. Dəqiq Parametrler aşağıda göstərilib. Format olunub, müddətsiz antivirus , lazimi proqramlar yazılıb. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44506934,680,Lenovo,Lenovo ThinkPad P72,AZN,"Noutbuk əla vəziyyətdədi. İşləməyində, detallarında heç bir problem yoxdu. Parametrləri güclüdü, 4 GB NVIDIA Quadro Videokartı, işıqlı klaviturası var. Dəqiq Parametrler aşağıda göstərilib. Format olunub, müddətsiz antivirus , lazimi proqramlar yazılıb. NoutBuka 3 ay Rəsmi Zəmanət Verilir.
( (İstifadəçinin Bütün Elanlaına Bax).",individual_seller
Bakı,04 30,https://tap.az/elanlar/elektronika/noutbuklar/44482912,599,Huawei,"Noutbuk ""HUAWEI BoDE-WXX9""",AZN,HUAWEI MateBook D 15 2021,individual_seller
